,userId,date,endInput,sleep,sleepProblem,dream,amCondition,amEmotion,pmEmotion,pmStress,pmFatigue,caffeine,cAmount(ml),alcohol,aAmount(ml)
0,user01,2020-08-30,2020-08-31 8:43,3.0,6.0,2.0,3.0,3.0,4.0,2.0,4.0,,-1.0,,-1.0
1,user01,2020-08-31,2020-09-01 10:18,2.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,coffee,250.0,,-1.0
2,user01,2020-09-01,2020-09-02 10:35,2.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,coffee,1000.0,,-1.0
3,user01,2020-09-02,2020-09-03 11:04,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,coffee,500.0,,-1.0
4,user01,2020-09-03,2020-09-04 12:33,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,coffee,1000.0,not specified,1000.0
5,user01,2020-09-04,2020-09-05 10:25,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,coffee,500.0,not specified,500.0
6,user01,2020-09-05,2020-09-06 10:44,3.0,7.0,1.0,3.0,3.0,4.0,4.0,2.0,coffee,1000.0,not specified,1000.0
7,user01,2020-09-06,2020-09-07 10:28,2.0,3.0,2.0,2.0,5.0,5.0,2.0,4.0,coffee,1000.0,not specified,1000.0
8,user01,2020-09-07,2020-09-08 10:45,4.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,coffee,500.0,,-1.0
9,user01,2020-09-08,2020-09-09 10:09,2.0,7.0,1.0,3.0,3.0,5.0,4.0,2.0,coffee,1500.0,not specified,1500.0
10,user01,2020-09-09,2020-09-10 13:02,1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,coffee,500.0,not specified,500.0
11,user01,2020-09-10,2020-09-11 10:17,3.0,3.0,1.0,2.0,3.0,5.0,4.0,2.0,coffee,1000.0,not specified,1000.0
12,user01,2020-09-11,2020-09-13 0:34,4.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,,-1.0,,-1.0
13,user01,2020-09-12,2020-09-13 13:50,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,,-1.0,,-1.0
14,user01,2020-09-13,2020-09-14 11:31,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,,-1.0,,-1.0
15,user01,2020-09-14,2020-09-15 14:38,4.0,3.0,2.0,3.0,3.0,5.0,2.0,4.0,coffee,1500.0,not specified,1500.0
16,user01,2020-09-15,2020-09-16 10:12,2.0,7.0,1.0,2.0,4.0,3.0,2.0,4.0,,-1.0,,-1.0
17,user01,2020-09-16,2020-09-18 1:16,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,coffee,1000.0,not specified,1000.0
18,user01,2020-09-17,2020-09-18 14:30,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,,-1.0,,-1.0
19,user01,2020-09-18,2020-09-19 13:40,2.0,0.0,4.0,2.0,3.0,5.0,2.0,2.0,,-1.0,,-1.0
20,user01,2020-09-19,2020-09-20 10:40,3.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,coffee,1000.0,not specified,1000.0
21,user01,2020-09-20,2020-09-22 0:10,3.0,0.0,1.0,3.0,3.0,4.0,2.0,2.0,coffee,500.0,not specified,500.0
22,user01,2020-09-21,2020-09-23 12:33,4.0,0.0,3.0,4.0,4.0,3.0,2.0,4.0,coffee,500.0,not specified,500.0
23,user01,2020-09-23,2020-09-25 0:43,2.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,coffee,1000.0,,-1.0
24,user01,2020-09-24,2020-09-25 12:00,2.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,coffee,1000.0,,-1.0
25,user01,2020-09-25,2020-09-26 11:05,2.0,2.0,4.0,1.0,2.0,5.0,4.0,4.0,,-1.0,,-1.0
26,user01,2020-09-26,2020-09-27 10:20,1.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,,-1.0,,-1.0
27,user02,2020-08-31,2020-09-01 7:18,3.0,0.0,4.0,1.0,2.0,3.0,2.0,1.0,coffee,1000.0,soju&beer,500.0
28,user02,2020-09-01,2020-09-02 7:40,3.0,5.0,2.0,1.0,2.0,3.0,2.0,1.0,coffee,1000.0,,-1.0
29,user02,2020-09-02,2020-09-03 7:35,4.0,5.0,4.0,1.0,3.0,3.0,1.0,1.0,coffee,500.0,,-1.0
30,user02,2020-09-03,2020-09-04 7:35,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,coffee,500.0,,-1.0
31,user02,2020-09-04,2020-09-05 10:37,4.0,0.0,4.0,3.0,3.0,4.0,2.0,2.0,coffee,1000.0,,-1.0
32,user02,2020-09-05,2020-09-06 11:15,5.0,0.0,4.0,4.0,3.0,4.0,4.0,3.0,coffee,500.0,,-1.0
33,user02,2020-09-06,2020-09-07 8:14,4.0,1.0,4.0,2.0,3.0,4.0,5.0,4.0,,-1.0,,-1.0
34,user02,2020-09-07,2020-09-08 7:58,2.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,coffee,500.0,,-1.0
35,user02,2020-09-08,2020-09-09 7:55,3.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,coffee,500.0,,-1.0
36,user02,2020-09-09,2020-09-10 7:36,4.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,coffee,1500.0,,-1.0
37,user02,2020-09-10,2020-09-11 7:52,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,coffee,1000.0,,-1.0
38,user02,2020-09-11,2020-09-12 22:39,4.0,0.0,2.0,3.0,3.0,3.0,1.0,1.0,coffee,1500.0,,-1.0
39,user02,2020-09-12,2020-09-13 11:11,3.0,0.0,2.0,3.0,3.0,4.0,4.0,4.0,,-1.0,,-1.0
40,user02,2020-09-13,2020-09-14 7:51,3.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,,-1.0,,-1.0
41,user02,2020-09-14,2020-09-15 8:32,3.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,coffee,500.0,,-1.0
42,user02,2020-09-15,2020-09-16 8:00,3.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,coffee,500.0,,-1.0
43,user02,2020-09-16,2020-09-17 8:11,3.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,coffee,500.0,,-1.0
44,user02,2020-09-17,2020-09-18 8:37,3.0,7.0,1.0,2.0,2.0,3.0,1.0,2.0,coffee,1000.0,,-1.0
45,user02,2020-09-18,2020-09-19 8:49,3.0,7.0,2.0,2.0,3.0,4.0,2.0,2.0,coffee,500.0,soju&beer,1000.0
