,Unnamed: 0,userId,night_inputDt,pmEmotion,pmStress,ifUnusual,breakfast,lunch,dinner,lateSnack,amCaffeine,amCaffAmount,pmCaffeine,pmCaffAmount,alcohol,aAmount,date,sleep,inputDt,sleepProblem,dream,amCondition,amEmotion,total_CaffAmount,date_m,startDt,endDt,device,sleep_score,total_sleep_time,time_in_bed,waso,wakeupcount,aal,movement_index,fragmentation_index,sleep_frag_index
0,0,1,2018-11-16 0:32,3.0,1.0,2.0,1.0,3.0,3.0,4.0,,,,,,,2018-11-16,3.0,2018-11-17 11:48,3.0,2.0,4.0,5.0,,2018-11-17,2018-11-17 3:36,2018-11-17 16:09,Fitbit,90.8004779,22800,25110,,,,,,
1,0,1,2018-11-17 3:26,5.0,4.0,2.0,1.0,3.0,3.0,,coffee,2.0,,,,,2018-11-17,3.0,2018-11-18 11:36,0.0,4.0,3.0,4.0,,2018-11-18,2018-11-18 5:06,2018-11-18 11:08,Fitbit,91.9842313,21000,22830,,,,,,
2,0,1,2018-11-18 23:34,3.0,2.0,2.0,2.0,3.0,3.0,4.0,,,coffee,1.0,,,2018-11-18,4.0,2018-11-19 7:49,6.0,4.0,2.0,2.0,,2018-11-19,2018-11-19 1:54,2018-11-19 7:47,Fitbit,88.4823848,19590,22140,,,,,,
3,0,1,2018-11-19 22:10,4.0,2.0,2.0,2.0,3.0,3.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-19,3.0,2018-11-20 9:12,0.0,4.0,1.0,5.0,2.0,2018-11-20,2018-11-20 1:38,2018-11-20 7:30,Fitbit,88.7816647,22080,24870,,,,,,
4,0,1,2018-11-21 22:31,3.0,2.0,2.0,1.0,3.0,3.0,2.0,,,,,,,2018-11-21,4.0,2018-11-22 9:09,0.0,4.0,1.0,2.0,,2018-11-22,2018-11-21 23:52,2018-11-22 7:37,Fitbit,92.4031008,17880,19350,,,,,,
5,0,1,2018-11-22 23:35,4.0,2.0,2.0,3.0,3.0,3.0,4.0,coffee,3.0,coffee,1.0,,,2018-11-22,5.0,2018-11-23 8:18,0.0,4.0,1.0,2.0,4.0,2018-11-23,2018-11-23 2:07,2018-11-23 7:17,Fitbit,82.5613079,18180,22020,,,,,,
6,0,1,2018-11-23 23:46,3.0,1.0,1.0,3.0,3.0,3.0,4.0,,,,,,,2018-11-23,5.0,2018-11-24 7:30,0.0,4.0,1.0,2.0,,2018-11-24,2018-11-24 0:04,2018-11-24 6:24,Fitbit,92.1763869,19440,21090,,,,,,
7,0,1,2018-11-27 21:26,4.0,3.0,2.0,3.0,3.0,3.0,3.0,,,,,,,2018-11-27,1.0,2018-11-28 8:35,0.0,4.0,1.0,1.0,,2018-11-28,2018-11-28 2:09,2018-11-28 10:49,Fitbit,89.1304348,23370,26220,,,,,,
0,0,2,2018-11-16 22:36,2.0,1.0,1.0,4.0,2.0,3.0,3.0,,,,,beer,5.0,2018-11-16,3.0,2018-11-17 9:10,5.0,4.0,3.0,3.0,,2018-11-17,2018-11-17 0:09,2018-11-17 1:35,Fitbit,91.9739696,12720,13830,,,,,,
1,0,2,2018-11-26 23:20,4.0,3.0,,2.0,2.0,2.0,,,,,,,,2018-11-26,1.0,2018-11-27 19:43,0.0,4.0,2.0,4.0,,2018-11-27,2018-11-27 1:43,2018-11-27 8:16,Fitbit,93.6440678,13260,14160,,,,,,
0,0,3,2018-11-01 23:36,3.0,2.0,2.0,4.0,2.0,2.0,4.0,,,,,,,2018-11-01,3.0,2018-11-02 10:48,0.0,4.0,2.0,3.0,,2018-11-02,2018-11-02 1:02,2018-11-02 9:42,Fitbit,85.6913183,15990,18660,,,,,,
1,0,3,2018-11-06 22:03,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2018-11-06,2.0,2018-11-07 9:50,7.0,1.0,1.0,2.0,,2018-11-07,2018-11-07 1:33,2018-11-07 7:51,Fitbit,87.311828,24360,27900,,,,,,
2,0,3,2018-11-07 21:14,2.0,1.0,2.0,4.0,1.0,2.0,,,,,,,,2018-11-07,3.0,2018-11-08 11:50,2.0,2.0,2.0,3.0,,2018-11-08,2018-11-08 1:28,2018-11-08 9:00,Fitbit,85.8783008,22440,26130,,,,,,
3,0,3,2018-11-08 23:02,3.0,3.0,2.0,4.0,2.0,3.0,4.0,,,,,,,2018-11-08,2.0,2018-11-09 10:15,2.0,4.0,2.0,3.0,,2018-11-09,2018-11-09 1:17,2018-11-09 9:01,Fitbit,87.3369148,34140,39090,,,,,,
4,0,3,2018-11-09 22:37,3.0,2.0,1.0,4.0,2.0,3.0,4.0,,,,,,,2018-11-09,3.0,2018-11-10 12:22,2.0,2.0,3.0,3.0,,2018-11-10,2018-11-10 1:38,2018-11-10 11:52,Fitbit,86.7719645,26370,30390,,,,,,
5,0,3,2018-11-10 23:30,3.0,2.0,2.0,4.0,2.0,2.0,4.0,,,,,,,2018-11-10,4.0,2018-11-11 11:44,0.0,4.0,3.0,3.0,,2018-11-11,2018-11-11 3:12,2018-11-11 10:54,Fitbit,97.4789916,6960,7140,,,,,,
0,0,4,2018-10-31 22:12,1.0,1.0,2.0,4.0,4.0,1.0,4.0,coffee,1.0,,,,,2018-10-31,1.0,2018-11-01 8:02,7.0,1.0,1.0,1.0,,2018-11-01,2018-11-01 0:44,2018-11-01 6:15,Fitbit,86.2745098,22440,26010,,,,,,
1,0,4,2018-11-01 19:33,1.0,1.0,2.0,4.0,4.0,3.0,4.0,coffee,2.0,,,,,2018-11-01,1.0,2018-11-02 7:33,7.0,1.0,1.0,1.0,,2018-11-02,2018-11-02 23:57,2018-11-02 23:58,Fitbit,87.755102,25800,29400,,,,,,
2,0,4,2018-11-02 20:28,3.0,1.0,2.0,4.0,2.0,3.0,4.0,coffee,1.0,caffeinated drink,1.0,,,2018-11-02,2.0,2018-11-03 11:16,2.0,1.0,1.0,1.0,2.0,2018-11-03,2018-11-03 0:06,2018-11-03 6:42,Fitbit,88.0662983,23910,27150,,,,,,
3,0,4,2018-11-04 20:48,1.0,1.0,1.0,4.0,4.0,3.0,3.0,coffee,2.0,coffee,1.0,,,2018-11-04,2.0,2018-11-05 7:29,2.0,1.0,1.0,1.0,3.0,2018-11-05,2018-11-05 0:15,2018-11-05 7:24,Fitbit,88.4615385,21390,24180,,,,,,
4,0,4,2018-11-05 19:31,1.0,1.0,2.0,4.0,2.0,2.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-05,2.0,2018-11-06 7:36,4.0,1.0,1.0,2.0,2.0,2018-11-06,2018-11-06 1:13,2018-11-06 6:57,Fitbit,84.0,15750,18750,,,,,,
5,0,4,2018-11-06 18:35,2.0,1.0,2.0,3.0,1.0,1.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-06,2.0,2018-11-07 8:45,4.0,1.0,1.0,1.0,2.0,2018-11-07,2018-11-07 0:46,2018-11-07 6:59,Fitbit,80.7903403,22080,27330,,,,,,
6,0,4,2018-11-08 19:26,3.0,2.0,2.0,4.0,2.0,1.0,4.0,,,coffee,1.0,,,2018-11-08,2.0,2018-11-09 7:48,4.0,4.0,1.0,2.0,,2018-11-09,2018-11-09 2:03,2018-11-09 6:57,Fitbit,87.0535714,29250,33600,,,,,,
7,0,4,2018-11-10 21:18,3.0,2.0,1.0,2.0,2.0,1.0,1.0,coffee,1.0,,,,,2018-11-10,2.0,2018-11-11 11:03,4.0,4.0,2.0,3.0,,2018-11-11,2018-11-11 2:29,2018-11-11 18:13,Fitbit,89.9193548,20070,22320,,,,,,
8,0,4,2018-11-12 20:45,2.0,1.0,2.0,3.0,4.0,1.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-12,2.0,2018-11-13 10:34,4.0,4.0,1.0,2.0,2.0,2018-11-13,2018-11-13 5:00,2018-11-13 13:10,Fitbit,93.6708861,4440,4740,,,,,,
0,0,5,2018-10-30 18:17,4.0,2.0,2.0,2.0,2.0,2.0,2.0,,,coffee,1.0,,,2018-10-30,4.0,2018-10-31 8:17,3.0,4.0,4.0,3.0,,2018-10-31,2018-10-31 0:23,2018-10-31 6:43,Fitbit,90.726817,21720,23940,,,,,,
1,0,5,2018-10-31 21:04,2.0,1.0,1.0,3.0,4.0,4.0,4.0,coffee,1.0,,,,,2018-10-31,4.0,2018-11-01 7:20,0.0,4.0,2.0,3.0,,2018-11-01,2018-10-31 23:56,2018-11-01 5:26,Fitbit,85.2941176,16530,19380,,,,,,
2,0,5,2018-11-01 21:14,4.0,4.0,2.0,3.0,2.0,3.0,4.0,,,coffee,1.0,,,2018-11-01,3.0,2018-11-02 6:44,0.0,4.0,2.0,3.0,,2018-11-02,2018-11-01 22:58,2018-11-02 4:05,Fitbit,84.0310078,16260,19350,,,,,,
3,0,5,2018-11-02 21:20,4.0,3.0,2.0,3.0,2.0,3.0,4.0,coffee,1.0,,,,,2018-11-02,4.0,2018-11-03 7:20,0.0,4.0,4.0,3.0,,2018-11-03,2018-11-03 4:36,2018-11-03 4:53,Fitbit,91.7431193,6000,6540,,,,,,
4,0,5,2018-11-03 20:28,3.0,1.0,2.0,2.0,3.0,4.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-03,3.0,2018-11-04 7:08,0.0,4.0,2.0,2.0,2.0,2018-11-04,2018-11-04 1:27,2018-11-04 5:38,Fitbit,83.0339321,12480,15030,,,,,,
5,0,5,2018-11-04 20:53,4.0,2.0,2.0,3.0,1.0,4.0,3.0,coffee,1.0,coffee,2.0,,,2018-11-04,4.0,2018-11-05 7:48,0.0,4.0,4.0,2.0,3.0,2018-11-05,2018-11-04 23:50,2018-11-05 5:57,Fitbit,90.5660377,21600,23850,,,,,,
6,0,5,2018-11-06 20:37,4.0,2.0,2.0,3.0,1.0,4.0,3.0,coffee,1.0,coffee,2.0,,,2018-11-06,3.0,2018-11-07 7:38,3.0,4.0,2.0,2.0,3.0,2018-11-07,2018-11-06 23:47,2018-11-07 4:24,Fitbit,92.9310345,16170,17400,,,,,,
7,0,5,2018-11-07 20:26,4.0,3.0,2.0,3.0,3.0,1.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-07,2.0,2018-11-08 8:30,2.0,1.0,2.0,1.0,2.0,2018-11-08,2018-11-07 22:11,2018-11-08 7:27,Fitbit,84.9326599,30270,35640,,,,,,
8,0,5,2018-11-08 20:42,3.0,4.0,2.0,3.0,3.0,2.0,3.0,,,coffee,1.0,,,2018-11-08,4.0,2018-11-09 8:21,0.0,4.0,4.0,4.0,,2018-11-09,2018-11-08 23:35,2018-11-09 5:30,Fitbit,89.6694215,19530,21780,,,,,,
